cohort,question_id,participant_id,source_video_id,category,question_type,dense_correct_answer_log_probability,adaptive_correct_answer_log_probability,random_correct_answer_log_probability,uniform_correct_answer_log_probability,adaptive_minus_dense_correct_answer_log_probability,adaptive_minus_random_correct_answer_log_probability,adaptive_minus_uniform_correct_answer_log_probability,dense_answer_margin,adaptive_answer_margin,random_answer_margin,uniform_answer_margin,adaptive_minus_dense_answer_margin,adaptive_minus_random_answer_margin,adaptive_minus_uniform_answer_margin,dense_predicted_idx,adaptive_predicted_idx,random_predicted_idx,uniform_predicted_idx,adaptive_prediction_changed,adaptive_correct,dense_correct,correctness_change,mean_anchor_native_temporal_entropy,mean_native_retained_target_layer_mass,mean_native_oracle_top50_target_layer_mass,mean_reuse_efficiency,mean_native_source_target_top2_jaccard,mean_native_source_target_spearman,mean_normalized_temporal_coverage_span,mean_distance_from_anchor_descriptive_only,mean_descriptive_eight_bin_anchor_entropy,mean_descriptive_eight_bin_retained_mass,mean_descriptive_eight_bin_top4_oracle_mass,fraction_adjacent_selections,fraction_contains_first_unit,fraction_contains_last_unit
development,ingredient_ingredient_adding_localization_91,P08,P08-20240617-184909,ingredient,ingredient_ingredient_adding_localization,-3.1559356927585163,-2.839254436244688,-3.3751962146581262,-2.793737830621951,0.3166812565138284,0.5359417784134384,-0.04551660562273696,-2.75,-2.25,-2.875,-2.125,0.5,0.625,-0.125,3,3,3,3,False,False,False,0,0.9770466511169574,0.5631696919332324,0.5732736055187925,0.9815418550284734,0.6666666666666666,0.64,0.65,2.0,0.9846977674088941,0.563169691930299,0.5732736055158126,0.6,0.8,0.4
development,ingredient_ingredient_weight_5,P08,P08-20240618-163547,ingredient,ingredient_ingredient_weight,-1.9096922707495605,-2.297539632139406,-2.8096312195496855,-2.2329750909956685,-0.38784736138984566,0.5120915874102794,-0.06456454114373766,-1.25,-1.625,-1.875,-1.625,-0.375,0.25,0.0,1,1,1,1,False,False,False,0,0.9632776493376755,0.6169935066883793,0.6227742543065627,0.9904555892547261,0.7777777777777779,0.6933333333333335,0.75,2.0,0.9755184328898264,0.6169935066858528,0.6227742543040089,0.0,0.0,1.0
development,object_motion_object_movement_itinerary_286,P04,P04-20240414-064514,object_motion,object_motion_object_movement_itinerary,-2.0669667016657867,-2.0880210165307056,-2.02240940698147,-2.005292270517529,-0.021054314864918933,-0.06561160954923562,-0.08272874601317648,-1.375,-1.375,-1.375,-1.375,0.0,0.0,0.0,4,4,4,4,False,False,False,0,0.9820383417460558,0.5546820030529732,0.5962399312125267,0.9305665175795891,0.5999999999999999,0.56,0.75,2.0,0.988025561160801,0.5546820030497788,0.596239931209036,0.4,0.6,0.8
development,object_motion_object_movement_itinerary_433,P04,P04-20240414-172534,object_motion,object_motion_object_movement_itinerary,-2.161163896682314,-2.4007068763458426,-2.3115745562905294,-1.9247457548898037,-0.23954297966352867,-0.08913232005531313,-0.47596112145603886,-1.375,-1.625,-1.5,-1.0,-0.25,-0.125,-0.625,4,4,4,4,False,False,False,0,0.9840882061422642,0.5428807097568887,0.5948254402739658,0.9134067225992092,0.6222222222222221,0.36000000000000004,0.55,2.0,0.9893921374250346,0.5428807097537318,0.5948254402704773,0.8,0.4,0.6
development,object_motion_object_movement_itinerary_61,P03,P03-20240216-084005,object_motion,object_motion_object_movement_itinerary,-3.5583940631812077,-2.5508301066458223,-2.625313641114742,-3.257689485565722,1.0075639565353853,0.07448353446891964,0.7068593789198996,-3.375,-2.0,-2.25,-3.0,1.375,0.25,1.0,4,4,4,4,False,False,False,0,0.9914561837961197,0.5266987299022928,0.57068649246289,0.9233657909198238,0.44444444444444436,0.16,0.65,2.0,0.9943041225277255,0.526698729899154,0.5706864924594621,0.6,0.4,0.8
heldout,fine_grained_action_localization_1388,P01,P01-20240203-121517,fine_grained,fine_grained_action_localization,-0.6942635215531564,-0.8792973315292418,-0.7020586013924209,-0.5592897073009184,-0.18503380997608543,-0.1772387301368209,-0.3200076242283234,1.25,0.875,1.25,1.5,-0.375,-0.375,-0.625,2,2,2,2,False,True,True,0,0.9885171819206721,0.5487639101606302,0.571023549950323,0.961831319484888,0.5999999999999999,0.68,0.55,2.0,0.9923447879443773,0.5487639101577251,0.5710235499473183,0.8,0.4,0.4
heldout,fine_grained_action_localization_1515,P04,P04-20240414-165333,fine_grained,fine_grained_action_localization,-1.0965724890231936,-1.1557626227121953,-1.092316185506639,-1.0923141703601604,-0.05919013368900172,-0.06344643720555632,-0.06344845235203489,0.25,0.125,0.25,0.25,-0.125,-0.125,-0.125,4,4,4,4,False,True,True,0,0.9762549633408829,0.5780053920793544,0.5970121657045642,0.96609935078625,0.6888888888888889,0.6133333333333333,0.6,2.0,0.9841699755578796,0.5780053920761534,0.5970121657012547,0.6,1.0,0.0
heldout,fine_grained_action_localization_2299,P08,P08-20240613-122900,fine_grained,fine_grained_action_localization,-1.3780430733677673,-1.580601908261109,-1.4318458993292926,-1.4916210129854117,-0.2025588348933416,-0.14875600893181629,-0.08898089527569719,-0.5,-0.625,-0.625,-0.375,-0.125,0.0,-0.25,1,1,1,1,False,False,False,0,0.9833006221316452,0.5579781232072586,0.5864651174344103,0.9497161499306792,0.6222222222222222,0.44000000000000006,0.55,2.0,0.9888670814181678,0.5579781232039013,0.5864651174308732,0.8,0.6,0.2
heldout,fine_grained_action_localization_3677,P04,P04-20240414-065311,fine_grained,fine_grained_action_localization,-1.4755784501613738,-1.4472621406994712,-1.2017979986121932,-1.4493708528789853,0.028316309461902556,-0.24546414208727807,0.0021087121795140273,-0.25,-0.375,0.0,-0.25,-0.125,-0.375,-0.125,2,1,4,1,True,False,False,0,0.9496736899468984,0.6243123319995479,0.6257354508513421,0.9977578124853952,0.9111111111111111,0.8666666666666669,0.8,2.0,0.9664491266286421,0.6243123319962129,0.6257354508479985,0.4,1.0,0.6
heldout,fine_grained_action_localization_404,P04,P04-20240413-142619,fine_grained,fine_grained_action_localization,-2.748200195643967,-2.739765665836935,-2.3671652107156094,-2.905448131671947,0.008434529807031854,-0.3726004551213258,0.16568246583501178,-2.0,-2.0,-1.5,-2.25,0.0,-0.5,0.25,1,1,1,1,False,False,False,0,0.9794462227823801,0.5721102989507215,0.5922252498143392,0.9647176265861471,0.6888888888888888,0.6399999999999999,0.5,2.0,0.9862974818524491,0.5721102989476802,0.592225249811186,1.0,0.6,0.0
heldout,fine_grained_action_localization_5475,P01,P01-20240204-152537,fine_grained,fine_grained_action_localization,-2.0837214135773627,-2.212125873456053,-2.0897288747400595,-2.280326975012439,-0.12840445987869042,-0.12239699871599363,0.0682011015563857,-1.5,-1.75,-1.5,-1.875,-0.25,-0.25,0.125,2,2,2,2,False,False,False,0,0.980274032790783,0.5708051923701922,0.5798668333684861,0.983621825992511,0.7333333333333333,0.7333333333333335,0.9,2.0,0.9868493551908946,0.5708051923668853,0.5798668333651249,0.0,1.0,0.6
heldout,fine_grained_action_localization_6783,P07,P07-20240531-101357,fine_grained,fine_grained_action_localization,-1.72412747305597,-1.7207655065541063,-1.5618626001566294,-1.6065865898327036,0.0033619665018636002,-0.15890290639747695,-0.11417891672140268,-1.125,-1.0,-0.75,-0.75,0.125,-0.25,-0.25,0,0,0,0,False,False,False,0,0.9699586303545502,0.5875979973062573,0.5901806670167795,0.9951971291362709,0.8666666666666667,0.8533333333333334,0.5,2.0,0.9799724202336305,0.5875979973029307,0.5901806670134349,1.0,0.8,0.0
heldout,fine_grained_action_localization_8009,P05,P05-20240425-180658,fine_grained,fine_grained_action_localization,-2.5198847603324204,-2.324684017257498,-2.4143315255097955,-2.435334472680947,0.1952007430749223,0.08964750825229739,0.11065045542344887,-1.25,-1.0,-1.125,-1.125,0.25,0.125,0.125,4,4,0,2,False,False,False,0,0.9863289460285309,0.5364363564708319,0.556752467260125,0.963641058023263,0.6666666666666666,0.49333333333333323,0.55,2.0,0.9908859640161901,0.5364363564678952,0.556752467257076,0.8,0.6,0.4
heldout,fine_grained_action_localization_8273,P03,P03-20240218-144430,fine_grained,fine_grained_action_localization,-0.9581060348406647,-1.0468100825650557,-0.9575977200242437,-0.9180962244036294,-0.088704047724391,-0.089212362540812,-0.12871385816142633,0.375,0.375,0.5,0.625,0.0,-0.125,-0.25,4,4,4,4,False,True,True,0,0.9762611835710967,0.5534221228323097,0.5851904434979333,0.946400513175661,0.5555555555555556,0.4799999999999999,0.55,2.0,0.9841741223779619,0.5534221228292983,0.5851904434947639,0.8,0.2,0.0
heldout,fine_grained_action_localization_8735,P02,P02-20240211-120927,fine_grained,fine_grained_action_localization,-1.083076645226466,-1.3019930164820417,-1.3419629769767423,-1.2770015547224889,-0.21891637125557573,0.039969960494700585,-0.024991461759552802,0.5,0.125,-0.125,0.125,-0.375,0.25,0.0,4,4,1,4,False,True,True,0,0.9819860979738407,0.5623532710158553,0.5854121963065153,0.9602587364127826,0.7333333333333335,0.7200000000000001,0.6,2.0,0.9879907319797593,0.5623532710128945,0.5854121963034398,0.6,0.6,0.4
heldout,fine_grained_action_recognition_1045,P04,P04-20240415-184003,fine_grained,fine_grained_action_recognition,-1.143312679509513,-1.1448822698374066,-0.832495325688485,-0.9817363728462782,-0.0015695903278936107,-0.31238694414892154,-0.16314589699112836,-0.75,-0.75,-0.25,-0.5,0.0,-0.5,-0.25,4,4,4,4,False,False,False,0,0.975459015449746,0.6129498135777177,0.6231511807250806,0.9830575025624358,0.8666666666666667,0.84,0.6,2.0,0.9836393436293686,0.6129498135728372,0.6231511807201462,0.8,1.0,0.2
heldout,fine_grained_action_recognition_1133,P08,P08-20240618-171546,fine_grained,fine_grained_action_recognition,-1.5460532140295742,-1.3766183296723566,-1.765867186698645,-1.3766183296723566,0.16943488435721754,0.3892488570262884,0.0,-1.25,-1.0,-1.5,-1.0,0.25,0.5,0.0,1,1,1,1,False,False,False,0,0.9670394770764459,0.6432967385224782,0.6432967385224782,1.0,1.0,0.9466666666666667,0.5,2.0,0.9780263180469412,0.6432967385172736,0.6432967385172736,1.0,1.0,0.0
heldout,fine_grained_action_recognition_1445,P06,P06-20240510-100047,fine_grained,fine_grained_action_recognition,-2.0840660631158494,-1.9412107860014436,-1.9576043874465165,-1.8858071079107508,0.14285527711440582,0.01639360144507296,-0.0554036780906928,-1.75,-1.625,-1.625,-1.5,0.125,0.0,-0.125,3,3,3,3,False,False,False,0,0.981806354942203,0.5985097597634793,0.6058092522414618,0.9880646453580143,0.8222222222222222,0.7866666666666667,0.6,2.0,0.9878709032906436,0.5985097597584298,0.6058092522363733,0.8,1.0,0.2
heldout,fine_grained_action_recognition_174,P02,P02-20240211-111822,fine_grained,fine_grained_action_recognition,-0.4134118292201068,-0.7509210100265523,-1.3884745347820153,-0.7508979604776884,-0.33750918080644554,0.637553524755463,-2.3049548863895986e-05,0.875,0.125,-0.75,0.125,-0.75,0.875,0.0,4,4,3,4,False,True,True,0,0.9762361563318761,0.5999770276925006,0.610795705588945,0.9825647838580703,0.7777777777777778,0.8666666666666668,0.55,2.0,0.9841574375508501,0.5999770276879821,0.6107957055843243,0.8,1.0,0.0
heldout,fine_grained_action_recognition_2054,P04,P04-20240414-164751,fine_grained,fine_grained_action_recognition,-0.008168375850136864,-0.01417513587884729,-0.007548908630611481,-0.013793597011130672,-0.006006760028710426,-0.00662622724823581,-0.000381538867716618,5.75,5.25,5.875,5.375,-0.5,-0.625,-0.125,2,2,2,2,False,True,True,0,0.9904894127852835,0.582304174183219,0.5903042298145814,0.9851141216310882,0.8444444444444444,0.7333333333333333,0.5,2.0,0.993659608519542,0.5823041741785121,0.5903042298098206,1.0,0.8,0.0
heldout,fine_grained_action_recognition_2281,P08,P08-20240614-125650,fine_grained,fine_grained_action_recognition,-0.5917557128675569,-1.0003477190833798,-0.46778117523474405,-1.1494662018093118,-0.4085920062158229,-0.5325665438486358,0.14911848272593198,0.625,-0.25,0.875,-0.5,-0.875,-1.125,0.25,0,3,0,3,True,False,True,-1,0.9660443790460612,0.6067875840075795,0.6217572241000983,0.9759853946274567,0.7777777777777778,0.8266666666666668,0.8,2.0,0.9773629193598521,0.6067875840026268,0.6217572240950259,0.4,1.0,0.6
heldout,fine_grained_action_recognition_285,P06,P06-20240510-140459,fine_grained,fine_grained_action_recognition,-0.36508458961049317,-0.429567420374739,-0.4874277814470051,-0.5595694852635755,-0.06448283076424582,0.05786036107226611,0.13000206488883653,1.875,1.5,1.625,1.375,-0.375,-0.125,0.125,2,2,2,2,False,True,True,0,0.9884706628918739,0.5662571461780738,0.5775165754247222,0.979972616955031,0.6444444444444443,0.6400000000000001,0.7,2.0,0.9923137752568075,0.5662571461734116,0.577516575419963,0.4,1.0,0.2
heldout,fine_grained_action_recognition_3135,P04,P04-20240414-173337,fine_grained,fine_grained_action_recognition,-0.030090078309489496,-0.025494168756341654,-0.028932409784825086,-0.025494168756341654,0.004595909553147842,0.0034382410284834325,0.0,3.75,3.875,3.75,3.875,0.125,0.125,0.0,2,2,2,2,False,True,True,0,0.9585965760476008,0.6416000653807089,0.6416000653807089,1.0,1.0,0.9733333333333333,0.5,2.0,0.9723977173613645,0.6416000653758708,0.6416000653758708,1.0,1.0,0.0
heldout,fine_grained_action_recognition_335,P03,P03-20240218-094452,fine_grained,fine_grained_action_recognition,-0.09251474138606348,-0.0989844596808058,-0.09111614499693398,-0.0989844596808058,-0.006469718294742313,-0.007868314683871822,0.0,3.375,3.375,3.5,3.375,0.0,-0.125,0.0,4,4,4,4,False,True,True,0,0.9579336447763072,0.6423596497892391,0.6462281402871589,0.9933092438712435,0.9555555555555555,0.9066666666666666,0.5,2.0,0.9719557631801583,0.6423596497841617,0.6462281402820503,1.0,1.0,0.0
heldout,fine_grained_action_recognition_3768,P02,P02-20240209-194141,fine_grained,fine_grained_action_recognition,-3.313099981083834,-3.0461243921947747,-3.0576618268732765,-2.893612368581871,0.26697558888905926,0.011537434678501768,-0.15251202361290384,-3.125,-2.875,-2.875,-2.5,0.25,0.0,-0.375,2,2,2,2,False,False,False,0,0.9750687594042887,0.610663991255933,0.6119080643272662,0.9979415860013828,0.8666666666666667,0.9466666666666667,0.6,2.0,0.983379172932263,0.6106639912509267,0.6119080643222519,0.6,1.0,0.0
heldout,fine_grained_action_recognition_3776,P04,P04-20240415-175615,fine_grained,fine_grained_action_recognition,-0.18014435502448486,-0.19059995731983947,-0.17108120388261777,-0.19059995731983947,-0.01045560229535461,-0.019518753437221703,0.0,2.25,2.25,2.375,2.25,0.0,-0.125,0.0,1,1,1,1,False,True,True,0,0.9782214866050257,0.6158792819898565,0.61742922570345,0.9971481673148355,0.9111111111111111,0.8400000000000001,0.5,2.0,0.9854809910661094,0.6158792819851353,0.61742922569872,1.0,1.0,0.0
heldout,fine_grained_action_recognition_3917,P03,P03-20240218-190556,fine_grained,fine_grained_action_recognition,-0.8470348269799703,-0.8946758123578317,-0.8192409850002528,-0.8946758123578317,-0.04764098537786132,-0.07543482735757889,0.0,0.125,0.0,0.125,0.0,-0.125,-0.125,0.0,1,1,1,1,False,True,True,0,0.9686065062421093,0.6345487452513368,0.6345487452513368,1.0,1.0,0.9066666666666666,0.5,2.0,0.9790710041575003,0.6345487452461711,0.6345487452461711,1.0,1.0,0.0
heldout,fine_grained_action_recognition_4266,P09,P09-20240622-154652,fine_grained,fine_grained_action_recognition,-0.11261863258544166,-0.14583160221385866,-0.23361325123762428,-0.14583160221385866,-0.033212969628416994,0.08778164902376562,0.0,3.125,2.75,2.25,2.75,-0.375,0.5,0.0,1,1,1,1,False,True,True,0,0.9825198726516636,0.6012028438585857,0.6063083181096521,0.9902294150402883,0.8444444444444444,0.8,0.5,2.0,0.9883465817638853,0.6012028438537099,0.6063083181047457,1.0,1.0,0.0
heldout,fine_grained_action_recognition_4688,P02,P02-20240211-141313,fine_grained,fine_grained_action_recognition,-0.39558072977331266,-0.44061623966158875,-0.46336590577048814,-0.44061623966158875,-0.04503550988827609,0.02274966610889939,0.0,0.875,0.75,0.625,0.75,-0.125,0.125,0.0,2,2,2,2,False,True,True,0,0.9730221816009562,0.610617781210248,0.6120709503836357,0.997243083448051,0.8666666666666667,0.9333333333333333,0.5,2.0,0.98201478773004,0.6106177812054026,0.612070950378781,1.0,1.0,0.0
heldout,fine_grained_action_recognition_649,P02,P02-20240209-184316,fine_grained,fine_grained_action_recognition,-1.848504410926608,-1.9452997699604906,-1.9193635211977416,-1.9452997699604906,-0.09679535903388259,-0.025936248762749026,0.0,-1.375,-1.5,-1.375,-1.5,-0.125,-0.125,0.0,4,4,4,4,False,False,False,0,0.9795879302564713,0.6078423781552466,0.6081362774920792,0.999416131961165,0.9555555555555555,0.92,0.5,2.0,0.9863919535002783,0.6078423781502618,0.6081362774870925,1.0,1.0,0.0
heldout,fine_grained_action_recognition_662,P01,P01-20240203-135502,fine_grained,fine_grained_action_recognition,-2.1815754247362023,-2.377121668137143,-2.445674844142851,-2.5637135146704915,-0.19554624340094096,0.06855317600570787,0.18659184653334826,-1.5,-1.375,-1.875,-1.75,0.125,0.5,0.375,3,3,3,3,False,False,False,0,0.983738677383064,0.5764175981072126,0.6055836922647859,0.9490433399903557,0.4888888888888889,0.5466666666666666,0.65,2.0,0.9891591182509951,0.5764175981023679,0.6055836922596938,0.6,1.0,0.2
heldout,fine_grained_action_recognition_757,P09,P09-20240622-162302,fine_grained,fine_grained_action_recognition,-0.49308281441388746,-1.0524758416735795,-0.5590157545295441,-0.8351322251170565,-0.5593930272596921,-0.49346008714403544,-0.217343616556523,0.625,-0.5,0.5,-0.125,-1.125,-1.0,-0.375,2,4,2,4,True,False,True,-1,0.9809662775968453,0.5877430829840293,0.5955142897485627,0.9863670108905771,0.7777777777777778,0.76,0.65,2.0,0.9873108517273448,0.5877430829794729,0.5955142897439464,0.4,1.0,0.0
heldout,gaze_interaction_anticipation_22,P03,P03-20240217-094713,gaze,gaze_interaction_anticipation,-2.1220625493415985,-1.7254775519121641,-2.329046623924283,-1.397299008059255,0.3965849974294344,0.6035690720121187,-0.328178543852909,-1.375,-0.625,-1.75,-0.25,0.75,1.125,-0.375,0,0,0,0,False,False,False,0,0.9737401301142106,0.6191854930572639,0.6242318613117912,0.9922029307309116,0.8666666666666668,0.8266666666666667,1.0,2.0,0.9824934200730677,0.6191854930536311,0.6242318613081267,0.0,1.0,1.0
heldout,gaze_interaction_anticipation_244,P04,P04-20240413-151722,gaze,gaze_interaction_anticipation,-4.236092584978263,-3.6062819154401606,-4.314237583853272,-4.423377661181838,0.6298106695381027,0.7079556684131112,0.817095745741677,-3.625,-2.75,-3.375,-4.375,0.875,0.625,1.625,2,4,0,2,True,False,False,0,0.9819988934387549,0.5902683142919295,0.5945790796606368,0.9923183102402183,0.8222222222222223,0.7600000000000001,0.8,2.0,0.9879992622894881,0.5902683142884739,0.594579079657157,0.4,0.8,0.8
heldout,gaze_interaction_anticipation_468,P08,P08-20240614-132938,gaze,gaze_interaction_anticipation,-0.540500815353223,-1.0425577805547661,-0.884099706571557,-1.0213139117818817,-0.5020569652015431,-0.1584580739832091,-0.021243868772884422,0.875,0.375,0.625,0.25,-0.5,-0.25,0.125,3,3,3,3,False,True,True,0,0.9862998553492069,0.5559220621475208,0.5742276441893867,0.967071176878227,0.6222222222222222,0.5066666666666666,0.85,2.0,0.990866570229622,0.555922062144126,0.5742276441858943,0.2,0.8,0.8
heldout,gaze_interaction_anticipation_487,P02,P02-20240211-104948,gaze,gaze_interaction_anticipation,-3.776817944010259,-2.7769096664609565,-3.478721670868958,-3.0752812234816425,0.9999082775493027,0.7018120044080014,0.29837155702068596,-3.0,-1.875,-2.75,-2.25,1.125,0.875,0.375,2,2,3,3,False,False,False,0,0.9754366901341369,0.5913835977041628,0.6036658618089117,0.9789939046168937,0.7333333333333333,0.8133333333333332,0.85,2.0,0.9836244600862059,0.5913835977006298,0.603665861805308,0.0,1.0,0.4
heldout,gaze_interaction_anticipation_537,P04,P04-20240414-181030,gaze,gaze_interaction_anticipation,-2.549378451005345,-2.789795728712561,-1.9479777474681579,-2.1608552977606252,-0.24041727770721621,-0.8418179812444033,-0.628940430951936,-1.875,-2.125,-1.0,-1.25,-0.25,-1.125,-0.875,2,2,2,2,False,False,False,0,0.9793103546840662,0.5931146505409404,0.5994721475261618,0.9896202961715537,0.7777777777777778,0.7066666666666668,1.0,2.0,0.9862069031195845,0.5931146505373727,0.5994721475225583,0.0,1.0,1.0
heldout,gaze_interaction_anticipation_633,P06,P06-20240510-094438,gaze,gaze_interaction_anticipation,-2.6782756837927715,-2.8837633175660238,-1.9288594246365913,-2.374872565112193,-0.2054876337732523,-0.9549038929294325,-0.5088907524538309,-1.875,-2.0,-1.125,-1.75,-0.125,-0.875,-0.25,2,2,2,2,False,False,False,0,0.978935324629538,0.5865535193408157,0.5984612032330096,0.9790639310494268,0.7777777777777778,0.7200000000000001,0.6,2.0,0.9859568830832622,0.586553519337362,0.5984612032294814,0.6,0.4,0.6
heldout,gaze_interaction_anticipation_751,P01,P01-20240203-150506,gaze,gaze_interaction_anticipation,-1.8185518672094667,-1.8408151236715695,-1.9924585153607994,-1.6181216519583823,-0.02226325646210281,0.1516433916892299,-0.2226934717131872,-0.625,-0.875,-0.75,-0.625,-0.25,-0.125,-0.25,3,0,4,4,True,False,False,0,0.9749731161663799,0.5923221384555496,0.6104309095144272,0.9703196407344544,0.7777777777777778,0.8933333333333333,0.8,2.0,0.9833154107744287,0.5923221384518607,0.6104309095106181,0.4,0.6,1.0
